Grade,Subject,Unit #,Unit Title,Unit Objective,Skills Tested,Lesson 1 Title,Lesson 1 Bloom,Lesson 2 Title,Lesson 2 Bloom,Lesson 3 Title,Lesson 3 Bloom,Lesson 4 Title,Lesson 4 Bloom,Lesson 5 Title,Lesson 5 Bloom,Lesson 6 Title,Lesson 6 Bloom,Lesson 7 Title,Lesson 7 Bloom,Lesson 8 Title,Lesson 8 Bloom,Lesson 9 Title,Lesson 9 Bloom,Lesson 10 Title,Lesson 10 Bloom,Lesson 11 Title,Lesson 11 Bloom,Lesson 12 Title,Lesson 12 Bloom,Lesson 13 Title,Lesson 13 Bloom,Lesson 14 Title,Lesson 14 Bloom,Lesson 15 Title,Lesson 15 Bloom,Lesson 16 Title,Lesson 16 Bloom,Lesson 17 Title,Lesson 17 Bloom,Lesson 18 Title,Lesson 18 Bloom,Lesson 19 Title,Lesson 19 Bloom,Lesson 20 Title,Lesson 20 Bloom
K,Math,1,Counting & Numbers,"Recognize, count, and write numbers from 0 to 10 using real-world examples.","counting, number recognition, one-to-one correspondence",What Is a Number?,Remember,Recognizing Numbers 0-3,Remember,Counting Objects from 1 to 3,Understand,Tracing Numbers 1 to 3,Apply,Matching Numbers to Groups,Understand,Counting from 1 to 5 with Visuals,Remember,Writing Numbers 1 to 5,Apply,Comparing Groups: More or Less?,Understand,Counting Around the Room,Apply,Number Line Practice: 0 to 5,Understand,Recognizing Numbers 6 to 10,Remember,Tracing and Writing Numbers 6-10,Apply,"One More, One Less",Analyze,Counting with Fingers and Tools,Apply,Fill in the Missing Number,Analyze,Sorting and Counting Mixed Sets,Analyze,Using a Ten Frame,Apply,Reading Number Stories,Understand,Creating Our Own Number Book,Create,Counting Celebration and Review,Evaluate
K,Math,2,Sorting & Shapes,"Sort and classify objects by shape, size, and color while exploring basic 2D shapes.","sorting, shape recognition, visual comparison",Sorting by Color,Remember,Sorting by Size,Understand,Sorting by Shape,Understand,Sorting with Multiple Rules,Apply,Exploring Circles,Understand,Exploring Squares,Understand,Exploring Triangles,Understand,Exploring Rectangles,Apply,Exploring Hexagons,Apply,Matching Shapes to Real Objects,Understand,Building Shapes with Sticks and Clay,Apply,Drawing Shapes Independently,Apply,Sorting 2D vs 3D Shapes,Analyze,Exploring Cubes and Spheres,Understand,Exploring Cones and Cylinders,Understand,Shape Scavenger Hunt,Apply,Creating a Shape Poster,Create,Describing Shapes Using Math Words,Analyze,Shape Review Stations,Evaluate,Shape Sorting Celebration,Create
K,Math,3,Repeating Patterns,"Identify, extend, and create repeating patterns using colors, shapes, and sounds.","pattern recognition, prediction, classification",Identifying Patterns with Colors,Remember,Repeating Patterns with Blocks,Understand,Creating Patterns with Sounds,Apply,Labeling Patterns Using Letters,Understand,Extending AB Patterns,Apply,Extending ABC Patterns,Apply,Exploring Patterns in Nature,Understand,Making Patterns with Stickers,Apply,Building Patterns with Shapes,Apply,Drawing Our Own Patterns,Create,Finding Mistakes in Patterns,Analyze,Sorting Items by Pattern Type,Analyze,Pattern Dance and Movement,Apply,Using Patterns in Art,Create,Telling Pattern Stories,Create,Pattern Hunt Around the Classroom,Apply,Pattern Puzzles and Challenges,Analyze,Explaining Our Patterns,Evaluate,Creating a Pattern Book,Create,Pattern Parade and Review,Evaluate
K,Math,4,Mid-Year Math Review,Reinforce core concepts learned so far through games and cross-skill activities.,"counting, shapes, patterns, sorting",Reviewing Counting from 0 to 10,Remember,Recognizing Numbers in Everyday Life,Understand,Sorting by Number of Objects,Apply,Counting and Matching Sets,Apply,Using Number Lines for Counting Practice,Apply,Playing Number Recognition Games,Apply,Counting with Dice and Dominoes,Apply,Group Counting Activities,Apply,Comparing Sets Using More and Less,Analyze,Tracing and Writing Numbers,Apply,Counting Backwards from 10,Remember,Identifying Missing Numbers,Analyze,Counting On from a Given Number,Apply,Creating Number Stories,Create,Drawing Pictures to Show Numbers,Create,Playing Math Memory Games,Apply,Acting Out Word Problems,Apply,Explaining Our Counting Strategy,Evaluate,Math Game Rotation Stations,Apply,Mid-Year Math Review and Share,Evaluate
K,Math,5,Basic Operations,"Explore simple addition and subtraction through objects, fingers, and pictures.","addition, subtraction, quantity comparison",Introducing Addition with Pictures,Understand,Adding Using Fingers,Apply,Adding with Objects,Apply,Writing Addition Sentences,Apply,Story Problems: Adding to 5,Apply,Using a Number Line to Add,Apply,Counting On to Solve Addition,Apply,Creating Addition Books,Create,Comparing Addition Strategies,Analyze,Playing Addition Games,Apply,Introducing Subtraction with Pictures,Understand,Taking Away with Objects,Apply,Writing Subtraction Sentences,Apply,Story Problems: Subtracting from 5,Apply,Using a Number Line to Subtract,Apply,Comparing Addition and Subtraction,Analyze,Sorting Addition and Subtraction Problems,Analyze,Explaining Our Thinking,Evaluate,Addition & Subtraction Game Day,Apply,Addition & Subtraction Celebration,Evaluate
K,Math,6,Math in Daily Life,"Recognize and use numbers in real-world settings like calendars, clocks, and stores.","numeracy, time awareness, money basics",Counting Steps Around the Room,Apply,Measuring Objects with Cubes,Apply,Comparing Lengths Using Hands,Apply,"Taller, Shorter, and Same",Understand,Ordering Objects by Size,Analyze,Measuring with String and Tape,Apply,Introducing Weight Using Balance Scales,Understand,Heavier or Lighter?,Apply,Sorting Objects by Weight,Analyze,Using Water to Compare Volume,Apply,"Full, Half-Full, and Empty",Understand,Comparing Containers by Capacity,Analyze,Exploring Clocks and Daily Routines,Understand,Reading a Digital Clock (Hours),Remember,Reading an Analog Clock (Hours),Apply,Matching Activities to Times,Apply,Using a Calendar to Track Days,Apply,Math Walk: Measuring the World,Analyze,Measurement Centers Review,Evaluate,Real-Life Measurement Celebration,Create
K,Math,7,Addition & Subtraction,"Practice adding and subtracting small numbers using stories, games, and manipulatives.","basic operations, problem solving, number sense",Exploring Addition with Real Objects,Understand,Writing Numbers for Addition Stories,Apply,Using a Number Line to Add,Apply,Adding with Fingers and Drawings,Apply,Telling Stories with Addition,Apply,Introducing Subtraction with Pictures,Analyze,Taking Away with Counters,Apply,Writing Subtraction Sentences,Understand,Using Number Lines for Subtraction,Apply,Comparing Addition and Subtraction,Analyze,Acting Out Word Problems,Apply,Creating Math Storybooks,Create,Playing Addition and Subtraction Games,Apply,Building Fluency with Numbers to 5,Apply,Solving Mixed Operation Problems,Create,Sorting Math Problems by Type,Analyze,Explaining Our Math Thinking,Evaluate,Using Ten Frames to Add and Subtract,Apply,Reviewing with Math Centers,Evaluate,Math Stories Celebration,Create
K,Math,8,Measuring & Estimating,"Compare length, height, and weight using informal tools and vocabulary.","measurement, comparison, estimation",Sorting Objects into Groups,Understand,Creating Pictographs with Stickers,Apply,Reading Simple Pictographs,Apply,Matching Objects to Categories,Understand,Counting Items in a Group,Apply,Comparing Groups with More/Less,Analyze,Graphing Our Favorite Colors,Apply,Asking and Answering Graph Questions,Analyze,Drawing a Class Picture Graph,Create,Building a Block Graph,Apply,Exploring Real-Life Graphs,Understand,Tallying and Graphing Classroom Data,Apply,Creating a Weather Graph,Create,Reading Our Class Graphs,Understand,Coloring Favorite Foods Bar Graph,Apply,Playing Graph Sorting Games,Analyze,Designing a Class Survey,Create,Making a Question-Based Graph,Evaluate,Sharing Our Graphs with Peers,Evaluate,Graph Celebration Day,Create
K,Math,9,Math Problem Solving,"Solve simple story problems using objects, drawings, and early strategies.","math reasoning, representation, verbal problem solving",Acting Out Math Stories,Understand,Creating Math Stories with Pictures,Apply,Solving Problems Using Real Objects,Apply,Using Fingers to Solve Problems,Create,Drawing Solutions to Word Problems,Analyze,Matching Word Problems to Numbers,Apply,Counting On to Solve Addition Problems,Apply,Taking Away in Story Problems,Apply,Choosing Tools to Solve Problems,Analyze,Playing Word Problem Bingo,Apply,Explaining Our Thinking with Math Journals,Evaluate,Using Ten Frames for Word Problems,Apply,Solving Real-Life Problems in Centers,Create,Sorting Word Problems by Type,Apply,Acting Out Multi-Step Stories,Analyze,Solving Mixed Operation Word Problems,Create,Partner Work: Create a Math Story,Evaluate,Math Tool Choice Day,Analyze,Word Problem Challenge Stations,Apply,Math Story Showcase,Create
K,Math,10,Data & Graphing,"Collect and sort simple data, then represent it in pictographs or bar charts.","data collection, categorizing, graph interpretation",Naming Shapes in Our World,Understand,Describing Circles and Squares,Apply,Building Shapes with Sticks,Analyze,Comparing 2D Shapes by Sides,Apply,Identifying Shapes in the Environment,Understand,Drawing Shapes from Memory,Apply,Sorting Shapes by Attributes,Analyze,Exploring 3D Shapes with Blocks,Apply,Rolling and Stacking Shapes,Understand,Matching Real Objects to 3D Shapes,Analyze,Describing 3D Shapes by Faces and Edges,Analyze,Creating Shape Collages,Create,Constructing Shapes with Play-Dough,Apply,Finding Shapes in Picture Books,Understand,Shape Walk Around the School,Apply,Shape Puzzle Stations,Analyze,Shape Matching Card Games,Apply,Designing a Shape Poster,Evaluate,Explaining Shape Differences,Apply,Shape Showcase Day,Create
K,Math,11,Geometry & Space,"Recognize, name, and describe 2D and 3D shapes and their position in space.","geometry, spatial awareness, shape naming",Introducing Equal Parts,Understand,Folding Paper to Find Halves,Apply,Drawing Shapes Split into Halves,Apply,Coloring Half of a Picture,Apply,Creating Half-and-Half Collages,Apply,Exploring Real-Life Halves,Understand,Sorting Shapes by Equal or Unequal,Analyze,Sharing Snacks Equally,Apply,Understanding Whole vs Part,Understand,Building Fraction Models,Apply,Describing Halves with Math Words,Understand,Drawing Halves of Circles and Squares,Apply,Explaining What Half Means,Evaluate,Creating a Half Picture Book,Create,Comparing Half and Whole,Analyze,Building Shapes from Halves,Apply,Pattern Block Half Challenges,Analyze,Half-and-Half Story Problems,Evaluate,Review of Equal Parts,Apply,Halves Celebration Day,Create
K,Math,12,Math Celebration & Games,"Review all math skills through games, challenges, and creative activities.","math fluency, critical thinking, math vocabulary",Reviewing Numbers to 10,Remember,Reviewing Shapes,Remember,Reviewing Sorting and Patterns,Understand,Counting Practice with Games,Apply,Addition Practice with Objects,Apply,Subtraction Practice Stories,Apply,Number Line Game Day,Apply,Matching Activities Review,Analyze,Math Movement Games,Apply,Using Math Tools for Review,Apply,Playing Math Memory,Apply,Building with Shapes and Numbers,Create,Sharing Math Stories,Apply,Math Scavenger Hunt,Analyze,Solving Partner Problems,Create,Creating a Math Mini Book,Create,Math Art with Shapes and Numbers,Evaluate,Explaining Our Favorite Strategy,Evaluate,Math Celebration Stations,Apply,Kindergarten Math Showcase,Create
K,Reading,1,Reading Readiness / Storytime,"Develop print awareness, listening skills, and a love of stories through shared reading.","print tracking, listening comprehension, story engagement",What Is a Letter?,Remember,Identifying Uppercase Letters,Remember,Identifying Lowercase Letters,Apply,Matching Upper and Lowercase,Apply,Singing the Alphabet,Apply,Letter Sound Songs,Understand,Recognizing Beginning Sounds,Understand,Matching Letters to Sounds,Analyze,Clapping Out Syllables,Apply,Identifying Rhyming Words,Analyze,Sorting Pictures by Sounds,Apply,Alphabet Bingo,Apply,Tracing Letters with Fingers,Apply,Building Letters with Shapes,Create,Finding Letters in Our Names,Apply,Making a Class Alphabet Book,Create,Story Time with Letter Hunts,Analyze,Letter Sound Scavenger Hunt,Evaluate,Partner Practice: Sounds and Letters,Apply,Alphabet Show and Tell,Create
K,Reading,2,Genres & Characters,Explore different types of stories and identify who the story is about.,"genre recognition, character identification, story parts",What Is a Word?,Remember,Counting Words in a Sentence,Remember,Pointing to Words as We Read,Apply,Clapping Words in a Poem,Apply,Building Sentences with Word Cards,Apply,Sorting Sight Words,Understand,Matching Words to Pictures,Understand,Exploring Word Families,Analyze,Writing Our Favorite Words,Apply,Creating a Class Word Wall,Analyze,Finding Sight Words in Books,Apply,Partner Word Hunt,Apply,Reading Repetitive Texts,Apply,Using Picture Clues,Create,Acting Out Word Meanings,Apply,Writing Simple Sentences,Create,Reading Our Own Sentences,Analyze,Illustrating Word Meaning,Evaluate,Making Word Family Mini Books,Apply,Word Wall Celebration,Create
K,Reading,3,Story Patterns & Sequence,Understand and retell the order of events in familiar stories.,"sequencing, retelling, beginning-middle-end",What Is a Story?,Remember,"Listening for Beginning, Middle, End",Understand,Sequencing Picture Cards,Apply,Retelling Stories with Puppets,Apply,Acting Out Favorite Stories,Apply,Making a Story Map,Analyze,"Using First, Next, Last Language",Apply,Drawing a Story in 3 Parts,Apply,Reading Wordless Books,Apply,Matching Pictures to Events,Analyze,Partner Retell Practice,Apply,Sorting Story Events,Apply,Reading Repetitive Stories,Understand,Story Bag Retell,Apply,Story Roller Game,Analyze,Building a Story Chain,Create,Retell Relay Races,Analyze,Creating a Story Poster,Evaluate,Sharing Our Retells,Apply,Story Retell Celebration,Create
K,Reading,4,Comprehension Check-In,Strengthen story understanding through simple questions and discussion.,"comprehension, answering questions, verbal recall",What Is a Character?,Remember,Identifying Characters in Picture Books,Understand,Describing Characters by Actions,Apply,Matching Emotions to Characters,Apply,Drawing a Character’s Face,Apply,Acting Like a Character,Analyze,Comparing Two Characters,Apply,Choosing Favorite Characters,Apply,Exploring Good Guys and Bad Guys,Apply,Making a Class Character Chart,Analyze,Story Walk with Character Focus,Apply,Creating a Character Puppet,Apply,Writing Words to Describe Characters,Understand,Making a Character Mask,Apply,Writing and Drawing About a Character,Analyze,Playing Who Am I? (Character Game),Create,Explaining Why We Like a Character,Analyze,Character Walk Day,Evaluate,Character Parade Practice,Apply,Classroom Character Parade,Create
K,Reading,5,Story Structure & Plot,"Recognize common story elements like setting, characters, and events.","plot elements, vocabulary, prediction",Introducing Story Settings,Remember,Looking at Where Stories Happen,Understand,Sorting Books by Setting,Apply,Matching Settings to Pictures,Apply,Drawing a Story Setting,Apply,Describing Settings with Words,Analyze,Comparing Settings in Books,Apply,Acting Out a Setting,Apply,Creating a Setting Collage,Apply,Writing About Our Favorite Setting,Analyze,Exploring Fantasy and Real Settings,Apply,Making a Setting Book,Apply,Retelling Stories with Setting Focus,Understand,Explaining How Settings Affect Stories,Apply,Creating a Class Setting Chart,Analyze,Matching Objects to Settings,Create,Making a Setting Poster,Analyze,Classroom Setting Scavenger Hunt,Evaluate,Favorite Setting Show and Tell,Apply,Setting Celebration,Create
K,Reading,6,Reading in the Real World,"Identify and discuss environmental print like signs, logos, and labels.","text recognition, functional literacy, symbol decoding",What Is a Question?,Remember,Asking Questions About the Cover,Understand,Wondering What Will Happen,Apply,"Asking Who, What, Where Questions",Apply,Using Question Words with a Partner,Apply,Drawing a Question About the Story,Analyze,Guessing What Comes Next,Apply,Answering Questions with Picture Clues,Apply,Listening for Answers During Read Aloud,Apply,Asking Questions About Characters,Analyze,Explaining Our Questions,Apply,Making a Class Question Chart,Apply,Writing a Reading Question,Understand,Reading to Find the Answer,Apply,Playing Question Match,Analyze,Question and Answer Game,Create,Interviewing a Book Character,Analyze,Creating a Question Cube,Evaluate,Question Detective Hunt,Apply,Question Celebration Day,Create
